1995Jan-2013June,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor1.zoo.l1 + factor2.zoo.l1 + factor3.zoo.l1 + factor4.zoo.l1 + factor5.zoo.l1 + factor6.zoo.l1 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,
const,-0.150936,0.139237,-1.08,0.281,,,,,,
trend,0.00317,0.003994,0.79,0.429,,,,,,
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Residual standard error: 0.257 on 89 degrees of freedom,,,,,,,,,,
"Multiple R-Squared: 0.929,      Adjusted R-squared: 0.923 ",,,,,,,,,,
"F-statistic:  146 on 8 and 89 DF,  p-value: <2e-16 ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/30/2009 Daily,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor1n2.zoo.l1 + factor3n4.zoo.l1 + factor5n6.zoo.l1 + factor7n8.zoo.l1 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,
price1.zoo.l1,0.82163,0.10667,7.7,4.00E-09,***,,,,,
factor1n2.zoo.l1,-0.04701,0.1177,-0.4,0.692,,USGG10YR Index-USGGBE10 Index,,,,
factor3n4.zoo.l1,0.05659,0.1321,0.43,0.671,,USGG5YR Index - USGGBE05 Index,,,,
factor5n6.zoo.l1,-0.15662,0.08548,-1.83,0.075,.,GJGB10 Index-GJGB2 Index,,,,
factor7n8.zoo.l1,-0.09879,0.07389,-1.34,0.19,,GJGB5 Index-JYGGBE05 Index,,,,
const,0.30486,0.38315,0.8,0.431,,,,,,
trend,-0.00547,0.01562,-0.35,0.728,,,,,,
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/30/2009 Daily,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor9.zoo.l1 + factor5n6.zoo.l1 + factor7n8.zoo.l1 + factor1n2.zoo.l1 + factor5n1.zoo.l1 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,
price1.zoo.l1,0.541413,0.154063,3.51,0.0012,**,,,,,
factor9.zoo.l1,0.079229,0.058659,1.35,0.1855,,USDJPY,,,,
factor5n6.zoo.l1,-0.157511,0.076995,-2.05,0.0484,*,GJGB10 Index-GJGB2 Index,,,,
factor7n8.zoo.l1,0.044846,0.093141,0.48,0.6332,,GJGB5 Index-JYGGBE05 Index,,,,
factor1n2.zoo.l1,-0.000178,0.067723,0,0.9979,,USGG10YR Index-USGGBE10 Index,,,,
factor5n1.zoo.l1,-0.283453,0.147608,-1.92,0.063,.,GJGB10 Index - USGG10YR Index,,,,
const,-0.127724,0.369697,-0.35,0.7318,,,,,,
trend,0.020645,0.01752,1.18,0.2466,,,,,,
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
USDJPY,6/30/2009,Daily,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + tmp_f.zoo.l1 + price1.zoo.l2 + tmp_f.zoo.l2 + price1.zoo.l3 + tmp_f.zoo.l3 + price1.zoo.l4 + tmp_f.zoo.l4 + price1.zoo.l5 + tmp_f.zoo.l5 + price1.zoo.l6 + tmp_f.zoo.l6 + price1.zoo.l7 + tmp_f.zoo.l7 + price1.zoo.l8 + tmp_f.zoo.l8 + price1.zoo.l9 + tmp_f.zoo.l9 + price1.zoo.l10 + tmp_f.zoo.l10 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,Covariance matrix of residuals:,,
price1.zoo.l1,0.9385,0.2242,4.19,0.00062,***,,,            price1.zoo factor9.zoo,,
tmp_f.zoo.l1,-0.2873,0.2272,-1.26,0.22303,,,,price1.zoo     0.06239     0.00108,,
price1.zoo.l2,-0.1889,0.3069,-0.62,0.54637,,,,factor9.zoo    0.00108     0.04433,,
tmp_f.zoo.l2,0.0533,0.2545,0.21,0.83665,,,,,,
price1.zoo.l3,0.0689,0.3079,0.22,0.82553,,,,Correlation matrix of residuals:,,
tmp_f.zoo.l3,0.4071,0.2342,1.74,0.10019,,,,            price1.zoo factor9.zoo,,
price1.zoo.l4,-0.378,0.3292,-1.15,0.26677,,,,price1.zoo      1.0000      0.0205,,
tmp_f.zoo.l4,-0.078,0.2217,-0.35,0.72919,,,,factor9.zoo     0.0205      1.0000,,
price1.zoo.l5,0.5984,0.3446,1.74,0.10053,,,,,,
tmp_f.zoo.l5,-0.1027,0.1845,-0.56,0.58488,,,,,,
price1.zoo.l6,-0.458,0.3072,-1.49,0.15441,,,,,,
tmp_f.zoo.l6,0.0153,0.1834,0.08,0.93467,,,,,,
price1.zoo.l7,-0.0245,0.332,-0.07,0.94202,,,,,,
tmp_f.zoo.l7,-0.0357,0.1816,-0.2,0.84655,,,,,,
price1.zoo.l8,0.0509,0.3222,0.16,0.8763,,,,,,
tmp_f.zoo.l8,0.0843,0.1826,0.46,0.65026,,,,,,
price1.zoo.l9,0.4407,0.3593,1.23,0.23672,,,,,,
tmp_f.zoo.l9,0.072,0.1833,0.39,0.6994,,,,,,
price1.zoo.l10,-0.331,0.2746,-1.21,0.24463,,,,,,
tmp_f.zoo.l10,0.3469,0.2081,1.67,0.11387,,,,,,
const,-1.0017,0.4221,-2.37,0.0297,*,,,,,
trend,0.0457,0.0148,3.1,0.00655,**,,,,,
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/30/2009 Daily,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor5n1.zoo.l1 + const + trend ,,,,,,,,,,
,,,,,,,,,,Covariance matrix of residuals:
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,              price1.zoo factor5n1.zoo
price1.zoo.l1,0.74927,0.10523,7.12,7.60E-09,***,,,,,price1.zoo        0.0574       -0.0195
factor5n1.zoo.l1,-0.1949,0.09881,-1.97,0.055,.,,,,,factor5n1.zoo    -0.0195        0.1034
const,0.05678,0.07689,0.74,0.464,,,,,,
trend,0.00661,0.00318,2.08,0.044,*,,,,,Correlation matrix of residuals:
---,,,,,,,,,,              price1.zoo factor5n1.zoo
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,price1.zoo         1.000        -0.253
,,,,,,,,,,factor5n1.zoo     -0.253         1.000
,,,,,,,,,,
Residual standard error: 0.239 on 44 degrees of freedom,,,,,,,,,,
"Multiple R-Squared: 0.805,      Adjusted R-squared: 0.792 ",,,,,,,,,,
"F-statistic: 60.7 on 3 and 44 DF,  p-value: 1.11e-15 ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Estimation results for equation price1.zoo: ,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor5n6.zoo.l1 + price1.zoo.l2 + factor5n6.zoo.l2 + const + trend ,,,,,,,,,,Covariance matrix of residuals:
,,,,,,,,,,              price1.zoo factor5n6.zoo
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,price1.zoo        0.0579       -0.0125
price1.zoo.l1,1.01066,0.15164,6.66,4.90E-08,***,,,,,factor5n6.zoo    -0.0125        0.1374
factor5n6.zoo.l1,-0.07508,0.10087,-0.74,0.46,,,,,,
price1.zoo.l2,-0.21455,0.1583,-1.36,0.18,,,,,,Correlation matrix of residuals:
factor5n6.zoo.l2,0.00182,0.09061,0.02,0.98,,,,,,              price1.zoo factor5n6.zoo
const,0.00559,0.08091,0.07,0.95,,,,,,price1.zoo          1.00         -0.14
trend,0.00615,0.00317,1.94,0.06, .,,,,,factor5n6.zoo      -0.14          1.00
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Estimation results for equation price1.zoo: ,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor8n4.zoo.l1 + price1.zoo.l2 + factor8n4.zoo.l2 + price1.zoo.l3 + factor8n4.zoo.l3 + price1.zoo.l4 + factor8n4.zoo.l4 + price1.zoo.l5 + factor8n4.zoo.l5 + price1.zoo.l6 + factor8n4.zoo.l6 + price1.zoo.l7 + factor8n4.zoo.l7 + price1.zoo.l8 + factor8n4.zoo.l8 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,Covariance matrix of residuals:,,
price1.zoo.l1,1.00448,0.22664,4.43,0.00032,***,,,              price1.zoo factor8n4.zoo,,
factor8n4.zoo.l1,0.17109,0.10435,1.64,0.11846,,,,price1.zoo        0.0813        0.0167,,
price1.zoo.l2,-0.14938,0.39425,-0.38,0.7092,,,,factor8n4.zoo     0.0167        0.3723,,
factor8n4.zoo.l2,-0.0198,0.13385,-0.15,0.88404,,,,,,
price1.zoo.l3,0.02453,0.39377,0.06,0.95102,,,,Correlation matrix of residuals:,,
factor8n4.zoo.l3,-0.09653,0.14232,-0.68,0.50626,,,,              price1.zoo factor8n4.zoo,,
price1.zoo.l4,-0.30942,0.40902,-0.76,0.45914,,,,price1.zoo         1.000         0.096,,
factor8n4.zoo.l4,0.13447,0.16001,0.84,0.41169,,,,factor8n4.zoo      0.096         1.000,,
price1.zoo.l5,0.36669,0.38721,0.95,0.35618,,,,,,
factor8n4.zoo.l5,0.17615,0.15025,1.17,0.25633,,,,,,
price1.zoo.l6,-0.05406,0.45644,-0.12,0.90703,,,,,,
factor8n4.zoo.l6,-0.01583,0.16787,-0.09,0.92592,,,,,,
price1.zoo.l7,0.33729,0.40573,0.83,0.41669,,,,,,
factor8n4.zoo.l7,-0.02675,0.15221,-0.18,0.86247,,,,,,
price1.zoo.l8,-0.07681,0.35735,-0.21,0.83224,,,,,,
factor8n4.zoo.l8,0.10521,0.12763,0.82,0.42053,,,,,,
const,0.17031,0.17199,0.99,0.33517,,,,,,
trend,-0.00479,0.01367,-0.35,0.73005,,,,,,
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Residual standard error: 0.285 on 18 degrees of freedom,,,,,,,,,,
"Multiple R-Squared: 0.855,      Adjusted R-squared: 0.719 ",,,,,,,,,,
"F-statistic: 6.26 on 17 and 18 DF,  p-value: 0.000165 ",,,,,,,,,,
