,X2600.HK.Equity,X486.HK.Equity,AA.Equity,AWC.AU.Equity,HNDL.IN.Equity
34,0.8951,5.9367,0.7553,1.8927,1.2999
35,-2.2814,6.2267,0.6747,0.3096,-1.3123
36,2.0752,-0.3517,3.0529,1.2346,-0.7092
37,2.0752,-0.3517,3.0529,1.2346,-0.7092
38,2.0752,-0.3517,3.0529,1.2346,-0.7092
39,4.1931,-2.2353,-0.4335,4.2683,-1.0714
40,-0.8537,2.5271,-0.7983,-1.7544,-2.4669
41,-0.246,5.9859,-0.7315,0.2976,0.3701
42,-0.8631,-1.5504,0.5158,-1.7804,-1.8132
43,0.6219,-0.6749,-0.2933,1.2085,3.3177
44,0.6219,-0.6749,-0.2933,1.2085,3.3177
45,0.6219,-0.6749,-0.2933,1.2085,3.3177
46,-2.4722,-1.9253,-0.6618,-0.2985,0.3635
47,-0.6337,-1.5012,2.1466,0.2994,2.3544
48,4.2092,2.2274,4.7826,3.8806,2.3002
49,-0.4896,-0.344,-1.1065,-1.1494,1.672
50,3.321,2.6467,-0.2797,0.8721,-0.4253
51,3.321,2.6467,-0.2797,0.8721,-0.4253
52,3.321,2.6467,-0.2797,0.8721,-0.4253
53,-4.0476,0.3363,0.561,-2.3055,-3.6162
54,-0.3722,2.3464,1.1158,0.885,0.709
55,0.4981,-1.5284,-1.2414,1.462,0.709
56,-1.9827,-1.8847,-1.4665,-4.0346,4.2241
57,0.6321,-0.678,1.1339,1.8018,0.5629
58,0.6321,-0.678,1.1339,1.8018,0.5629
59,0.6321,-0.678,1.1339,1.8018,0.5629
60,-0.5025,0.1138,1.1913,0,3.1346
61,2.6515,1.1364,-0.277,1.7699,-0.1628
62,-1.353,1.1236,-1.1111,0,-1.4678
63,1.2469,0.5556,3.2303,2.3188,1.3793
64,1.2469,0.5556,3.2303,2.3188,1.3793
65,1.2469,0.5556,3.2303,2.3188,1.3793
66,1.2469,0.5556,3.2303,2.3188,1.3793
67,1.2469,0.5556,0.2041,2.3188,1.9048
68,1.2469,0.5556,2.0367,3.966,-1.4152
69,4.064,5.1934,-1.9295,-0.2725,0
70,-0.2367,-0.2101,0.882,0.2732,-4.3879
71,5.5753,-1.0526,-3.228,1.3624,1.3031
72,5.5753,-1.0526,-3.228,1.3624,1.3031
73,5.5753,-1.0526,-3.228,1.3624,1.3031
74,0.4494,0.8511,1.2509,1.0753,0.811
75,-2.6846,-0.8439,-1.5786,-5.5851,-1.0541
76,-1.1494,1.0638,0.6276,-0.8451,-1.0541
77,2.5581,2.1053,-0.8316,-1.9886,-0.8971
78,-4.5351,1.134,-2.7952,-2.029,-1.273
79,-4.5351,1.134,-2.7952,-2.029,-1.273
80,-4.5351,1.134,-2.7952,-2.029,-1.273
81,-3.3254,-3.16,-1.3659,-0.2959,2.1203
82,1.9656,2.5263,0.2187,-1.7804,1.9641
83,-0.7229,-0.5133,-0.2909,2.719,-1.0457
84,-1.0922,-3.4056,1.0212,-1.4706,-0.0278
85,-1.8405,-4.2735,1.8773,0.597,-0.8623
86,-1.8405,-4.2735,1.8773,0.597,-0.8623
87,-1.8405,-4.2735,1.8773,0.597,-0.8623
88,1.625,-2.0089,-0.4252,0.597,3.3389
89,-3.198,-2.6196,-4.3416,-2.0772,-0.2172
90,-2.7954,-5.0292,0.9673,-4.2424,-2.4218
91,-1.5686,-2.7094,1.1054,-1.2658,0.5577
92,2.7888,5.3165,-2.1137,0,-0.9983
93,2.7888,5.3165,-2.1137,0,-0.9983
94,2.7888,5.3165,-2.1137,0,-0.9983
95,-2.1964,2.1635,-2.0849,0.641,-3.1092
96,-2.2457,-1.6471,-4.3346,-3.1847,-5.782
97,-3.2432,-1.6746,-0.7171,2.9605,0.4296
98,-1.9553,-2.5547,-4.1734,1.278,0.2139
99,-0.7123,-0.1248,0.5025,-0.3155,-0.6098
100,-0.7123,-0.1248,0.5025,-0.3155,-0.6098
101,-0.7123,-0.1248,0.5025,-0.3155,-0.6098
102,4.4476,4.5,4.9167,6.0127,7.638
103,-2.7473,-2.1531,-3.6537,-2.9851,-3.1348
104,-0.1412,0.489,2.7205,0.9231,0.4119
105,1.8388,0.365,2.7287,3.0488,-0.8204
106,-3.1944,0.7273,-3.4375,0.8876,-3.4564
107,-3.1944,0.7273,-3.4375,0.8876,-3.4564
108,-3.1944,0.7273,-3.4375,0.8876,-3.4564
109,-5.7389,-3.7304,-2.1036,-4.3988,0.2754
110,0.761,-2.5,-2.314,-0.3067,-0.6103
111,-5.8912,-2.6923,-0.3384,-0.9231,-3.8993
112,-2.8892,-2.3715,-6.0272,-1.2422,0.0319
113,-2.8892,-2.3715,2.5294,1.2579,-3.13
114,-2.8892,-2.3715,2.5294,1.2579,-3.13
115,-2.8892,-2.3715,2.5294,1.2579,-3.13
116,5.2893,-0.6748,-2.2907,-0.6211,-3.9894
117,-6.4364,-5.5707,1.8936,-4.0625,-5.3915
118,2.6846,1.8705,-0.4425,3.2573,7.5862
119,5.719,0.4237,5.0667,6.6246,0.135
120,3.4003,2.9536,-1.5228,-0.5917,1.6846
121,3.4003,2.9536,-1.5228,-0.5917,1.6846
122,3.4003,2.9536,-1.5228,-0.5917,1.6846
123,-0.5979,2.3224,-1.5228,0,-0.4307
124,-4.6617,-1.2016,-3.866,0,-4.426
125,-2.2082,-1.3514,2.5916,-2.9762,-0.6267
126,3.3871,1.3699,-0.9582,1.227,2.2775
127,-1.7161,-0.6757,-4.6614,-3.6364,1.1305
128,-1.7161,-0.6757,-4.6614,-3.6364,1.1305
129,-1.7161,-0.6757,-4.6614,-3.6364,1.1305
130,-4.4444,-4.2177,-3.0443,-3.7736,-4.7087
131,0.8306,-0.5682,2.3787,1.3072,-6.0434
132,-0.4942,-2.7143,0.3717,-1.6129,0.6054
133,-2.3179,1.4684,4.1667,1.6393,4.1745
134,3.3898,3.0391,0.9778,0.9677,0.722
135,3.3898,3.0391,0.9778,0.9677,0.722
136,3.3898,3.0391,0.9778,0.9677,0.722
137,2.7869,-2.1067,-0.1761,0.9677,2.6882
138,0.319,-2.1521,2.2046,1.5974,1.0471
139,0.319,-2.1521,-1.5531,1.8868,0.2763
140,-0.159,-0.5865,-2.0158,-1.2346,1.1023
141,-0.7962,-0.885,-0.6261,0.9375,-0.954
142,-0.7962,-0.885,-0.6261,0.9375,-0.954
143,-0.7962,-0.885,-0.6261,0.9375,-0.954
144,4.9759,5.8036,5.4905,3.7152,5.676
145,1.5291,-2.2504,-3.6689,-1.4925,-1.2695
146,-1.506,2.8777,1.24,-1.8182,0.2308
147,-2.1407,4.0559,-2.7997,-0.9259,-0.6579
148,-1.875,1.2097,1.0801,-1.2461,-1.6556
149,-1.875,1.2097,1.0801,-1.2461,-1.6556
150,-1.875,1.2097,1.0801,-1.2461,-1.6556
151,0.4777,0,-1.7809,1.5773,1.4478
152,-2.8526,-1.7264,-6.2557,-2.4845,-4.2814
153,-1.7945,-4.1892,-2.7079,-2.8662,0.208
154,-1.7945,-4.1892,-0.0994,-1.6393,-1.0727
155,-3.1561,-1.2694,-0.4975,0.6667,0.5596
156,-3.1561,-1.2694,-0.4975,0.6667,0.5596
157,-3.1561,-1.2694,-0.4975,0.6667,0.5596
158,-2.0583,-0.4286,-0.4975,0.6623,-1.4609
159,4.9037,0.4304,2.1,0,1.5531
160,-1.6694,-0.2857,3.3301,-1.9737,-1.2861
161,1.1885,0.2865,1.6114,1.6779,2.007
162,2.0134,2.5714,2.0522,2.9703,2.865
163,2.0134,2.5714,2.0522,2.9703,2.865
164,2.0134,2.5714,2.0522,2.9703,2.865
165,1.8092,-0.2786,-0.6399,-0.641,0.3356
166,0,0.9777,1.196,-0.3226,1.204
167,-0.4847,0.5533,-0.8182,-0.6472,-0.4296
168,-1.7857,-1.1004,-0.6416,-2.2801,0.1659
169,1.8182,1.1127,-3.9668,-1,-0.497
170,1.8182,1.1127,-3.9668,-1,-0.497
171,1.8182,1.1127,-3.9668,-1,-0.497
172,-2.2727,-0.9629,1.633,-1.3468,1.6317
173,3.6545,0.2778,2.552,3.0717,0.1311
174,3.2051,0,-2.3963,0,2.3887
175,0.7764,-0.554,2.1719,-0.3311,0.9268
176,1.5408,3.0641,2.1257,3.3223,0.1267
177,1.5408,3.0641,2.1257,3.3223,0.1267
178,1.5408,3.0641,2.1257,3.3223,0.1267
179,-0.1517,4.3243,1.629,2.5723,-1.6129
180,1.9757,3.6269,-0.1781,-0.9404,1.0929
181,0,3,-1.5165,0.6329,0.6677
182,0,0.1214,-0.1812,-0.9434,1.7056
183,2.5335,1.5758,1.3612,-1.5873,-0.4037
184,2.5335,1.5758,1.3612,-1.5873,-0.4037
185,2.5335,1.5758,1.3612,-1.5873,-0.4037
186,0.7267,-1.1933,4.8344,2.9032,2.5257
187,-4.0404,0.7246,-1.281,2.5078,0.6691
188,2.406,2.2782,-0.0867,-1.5291,0
189,0.1468,1.2896,0.5208,1.8634,-0.1813
190,-0.5865,-0.2315,0.0864,0,-0.7264
191,-0.5865,-0.2315,0.0864,0,-0.7264
192,-0.5865,-0.2315,0.0864,0,-0.7264
193,-1.3274,0.9281,0.604,0,1.8598
194,-2.3916,-2.2989,-2.6587,-0.6098,-2.0652
195,-1.2251,-2.2353,-6.0793,2.454,0.5807
196,-1.8605,-2.5271,0.652,0.8982,1.4889
197,0.6319,-3.0864,-0.8341,5.5524,-0.5689
198,0.6319,-3.0864,-0.8341,5.5524,-0.5689
199,0.6319,-3.0864,-0.8341,5.5524,-0.5689
200,1.5699,0.7643,-0.3759,0.2849,-0.8431
201,-0.6182,-2.6549,3.3019,-0.5682,2.1257
202,1.3997,0.2597,-0.1826,1.4286,4.7279
203,3.3742,2.2021,-2.4703,0.2817,2.1011
204,-1.9288,-1.2674,-0.8443,-1.4045,-0.6952
205,-1.9288,-1.2674,-0.8443,-1.4045,-0.6952
206,-1.9288,-1.2674,-0.8443,-1.4045,-0.6952
207,-0.9077,0.7702,-1.8921,1.9943,-1.6802
208,-4.4275,-1.5287,-2.9894,-1.9553,-3.2721
209,-1.7572,-1.6818,0.497,-4.2735,-2.8783
210,-0.813,0.5263,-0.9891,-2.381,0.2444
211,0.1639,-0.5236,3.0969,3.0488,-0.0305
212,0.1639,-0.5236,3.0969,3.0488,-0.0305
213,0.1639,-0.5236,3.0969,3.0488,-0.0305
214,1.473,0.6579,-0.6783,3.5503,1.8598
215,-0.3226,1.9608,-0.3171,-2,-0.3891
216,0.1618,5.1282,2.9606,3.4985,4.7175
217,2.7464,-0.122,2.9468,0,-0.3443
218,-0.6289,-2.1978,0.4617,2.2535,-1.8428
219,-0.6289,-2.1978,0.4617,2.2535,-1.8428
220,-0.6289,-2.1978,0.4617,2.2535,-1.8428
221,4.7468,1.3733,0.4617,0.8264,4.9868
222,0.3021,0.3695,-0.1838,-0.5464,0.9779
223,-0.6024,0.6135,1.9337,1.6484,0.332
224,-0.4545,0.6098,1.4453,-0.8108,0.6067
225,-0.1522,0.6061,-0.5343,0,0.6067
226,-0.1522,0.6061,-0.5343,0,0.6067
227,-0.1522,0.6061,-0.5343,0,0.6067
228,3.2012,-0.8434,3.1334,1.9074,4.7423
229,0.4431,3.4022,-0.2604,0,-2.4077
230,-2.0588,2.4677,-0.5222,4.5455,1.8772
231,0.1502,2.2936,-1.4873,-2.046,-2.0268
232,1.6492,2.4664,-0.786,-0.7833,1.5852
233,1.6492,2.4664,-0.786,-0.7833,1.5852
234,1.6492,2.4664,-0.786,-0.7833,1.5852
235,0.295,-1.86,1.8753,-1.0526,2.5919
236,0.4412,-0.6689,-1.854,-0.7979,-1.2117
237,-0.2928,-0.5612,4.7449,-2.1448,-0.9656
238,-0.2928,-0.5612,0.3419,0.8219,-0.0264
239,0.5874,1.8059,3.9182,-1.3587,0.7644
240,0.5874,1.8059,3.9182,-1.3587,0.7644
241,0.5874,1.8059,3.9182,-1.3587,0.7644
242,2.4818,1.7738,-1.0656,2.2039,2.982
243,4.2735,0.2179,1.2428,-0.8086,-0.4318
244,4.3716,1.7391,-1.1457,-0.2717,-2.2704
245,-4.1885,-2.2436,0.2483,-1.3624,2.8713
246,-4.1885,-2.2436,0.9909,0,3.7046
247,-4.1885,-2.2436,0.9909,0,3.7046
248,-4.1885,-2.2436,0.9909,0,3.7046
249,3.8251,0,-2.5348,1.3812,0.7585
250,-0.3947,-0.3279,1.8456,-1.0899,-1.3842
251,1.4531,0.6579,1.8946,3.3058,3.6444
252,-1.0417,0.1089,-1.3743,1.8667,0.6415
253,-1.0526,0.7617,5.6557,3.9267,1.3692
254,-1.0526,0.7617,5.6557,3.9267,1.3692
255,-1.0526,0.7617,5.6557,3.9267,1.3692
256,4.2553,2.3758,0.3103,2.267,0.1863
257,2.2959,-0.4219,2.0882,-1.9704,-2.0456
258,0.8728,-0.5297,1.2879,0.5025,2.729
259,0.8653,-0.426,-1.7951,3,-0.2541
260,0.9804,5.4545,0,0,-1.5285
261,0.9804,5.4545,0,0,-1.5285
262,0.9804,5.4545,0,0,-1.5285
263,-2.6699,1.4199,0.0762,-0.9709,-0.5644
264,1.8703,1,-3.5769,-0.4902,-2.3888
265,-3.3048,-3.4653,2.2099,-1.7241,-1.5508
266,0.3797,-0.5128,-1.3127,0.2506,5.0209
267,-1.0088,2.0619,-0.4695,1,-0.6796
268,-1.0088,2.0619,-0.4695,1,-0.6796
269,-1.0088,2.0619,-0.4695,1,-0.6796
270,0.3822,1.0101,1.2579,1.4851,4.3889
271,-4.3147,0,-0.0776,-1.4634,-1.5597
272,-2.5199,-2.2,-1.3209,-2.2277,0.7807
273,-0.1361,-0.818,-0.3937,3.7975,-1.4354
274,0.2725,0.8247,3.8735,-0.9756,-2.6815
275,0.2725,0.8247,3.8735,-0.9756,-2.6815
276,0.2725,0.8247,3.8735,-0.9756,-2.6815
277,2.8533,2.045,-0.6849,0,1.1639
278,-0.9247,0.2004,1.4559,-0.9852,1.127
279,-0.4,-0.2,-0.5299,1.99,1.6485
280,1.6064,0,3.5008,5.3659,3.4491
281,3.2938,2.004,2.9412,2.7778,2.6496
282,3.2938,2.004,2.9412,2.7778,2.6496
283,3.2938,2.004,2.9412,2.7778,2.6496
284,0,5.1081,-0.2786,-0.9009,-0.9464
285,-1.6582,-0.3738,-1.5114,-2.7273,0.2172
286,0.9079,-1.3133,0.9455,-1.4019,-1.1484
287,-0.5141,-0.1901,-0.5043,3.3175,2.5647
288,-3.6176,-6.0952,-2.3172,-3.6697,-4.6377
289,-3.6176,-6.0952,-2.3172,-3.6697,-4.6377
290,-3.6176,-6.0952,-2.3172,-3.6697,-4.6377
291,-2.5469,-0.5071,-0.6672,0.4762,0.4258
292,-0.4127,-2.7523,-2.7612,-1.4218,-5.4229
293,-3.1768,-3.1447,-0.6907,-3.8462,-5.4229
294,2.8531,2.0563,3.4003,3,4.8608
295,-1.1096,1.8028,0,1.4563,-4.3204
296,-1.1096,1.8028,0,1.4563,-4.3204
297,-1.1096,1.8028,0,1.4563,-4.3204
298,1.2623,-1.875,-0.6726,-0.9569,1.0348
299,-2.3546,-1.9108,-1.2039,-2.4155,-1.8622
300,0.4255,-0.7576,1.3709,0,-1.518
301,-0.8475,3.5987,1.3709,0.9901,-2.3121
302,-0.8547,-1.0526,-1.0518,-0.9804,-1.356
303,-0.8547,-1.0526,-1.0518,-0.9804,-1.356
304,-0.8547,-1.0526,-1.0518,-0.9804,-1.356
305,1.4368,3.0851,0.9112,-0.9901,0.8498
306,-1.5581,1.548,-1.2415,-0.5,2.3792
307,0.8633,-1.4228,3.3905,1.005,3.4616
308,1.4265,0.3093,3.832,3.4826,2.3631
309,0.2813,3.8027,0.9936,-0.4808,-1.5543
310,0.2813,3.8027,0.9936,-0.4808,-1.5543
311,0.2813,3.8027,0.9936,-0.4808,-1.5543
312,-0.4208,-0.5941,0.0351,2.8986,2.7862
313,2.2535,-0.1992,-0.5971,0,2.4622
314,-1.6529,-0.1996,-0.0707,0.4695,-2.1164
315,-0.4202,0.8,0.0354,0.4673,-5.518
316,-1.1252,0.1984,0.7423,2.3256,2.646
317,-1.1252,0.1984,0.7423,2.3256,2.646
318,-1.1252,0.1984,0.7423,2.3256,2.646
319,1.138,0.5941,0.7719,1.3636,2.9261
320,1.2658,0.3937,-1.1142,3.139,1.4215
321,-1.9444,0,-1.6901,3.4783,-1.2013
322,-1.8414,-0.1961,3.5817,5.042,0.9457
323,1.2987,3.1434,0.6916,4.4,0.9457
324,1.2987,3.1434,0.6916,4.4,0.9457
325,1.2987,3.1434,0.6916,4.4,0.9457
326,-1.1396,4.5714,1.4423,-3.0651,-0.0892
327,1.1527,2.5501,0.8125,1.581,4.309
328,0.7123,3.0195,1.679,0.3891,1.9264
329,-0.2829,1.0345,1.321,-3.1008,-1.827
330,0,2.3891,1.321,-0.4,2.5027
331,0,2.3891,1.321,-0.4,2.5027
332,0,2.3891,1.321,-0.4,2.5027
333,0,2.3891,-0.7171,-0.4,-0.8139
334,-1.4184,0.6667,0.1313,-0.4,-0.0631
335,2.0144,-0.1656,-0.7869,-0.4016,1.7053
336,0.2821,-1.99,0.5288,1.2097,1.2834
337,-0.2813,0.846,1.1834,-1.1952,0.9606
338,-0.2813,0.846,1.1834,-1.1952,0.9606
339,-0.2813,0.846,1.1834,-1.1952,0.9606
340,2.8209,0.5034,2.6641,-1.1952,-0.3644
341,3.4294,0,4.557,0.8065,-0.8127
342,-0.6631,-1.5025,0.2421,4.8,0.9832
343,-0.534,0.339,-1.2077,-1.145,1.9675
344,-0.4027,-0.5068,0.3667,-0.7722,-7.1812
345,-0.4027,-0.5068,0.3667,-0.7722,-7.1812
346,-0.4027,-0.5068,0.3667,-0.7722,-7.1812
347,-1.752,-1.6978,0.4263,-0.3891,-4.8007
348,0,-4.1451,-0.9703,-4.2969,3.8271
349,1.9204,3.964,-0.5511,-2.449,2.9922
350,0.5384,0.8666,-3.0172,2.9289,-1.3684
351,-1.8742,0.6873,1.3968,0,-1.8143
352,-1.8742,0.6873,1.3968,0,-1.8143
353,-1.8742,0.6873,1.3968,0,-1.8143
354,-2.8649,1.1945,1.3968,-1.626,-2.2391
355,5.4775,3.0354,1.8848,3.719,2.0458
356,3.8615,2.6187,-1.2968,-0.7968,2.6803
357,-1.0256,-0.4785,-0.4981,-2.008,0.382
358,-1.1658,-3.6859,-1.189,-0.8197,-0.8668
359,-1.1658,-3.6859,-1.189,-0.8197,-0.8668
360,-1.1658,-3.6859,-1.189,-0.8197,-0.8668
361,-1.8349,0.3328,4.0532,0,-1.0237
362,0.4005,-0.995,-1.1564,1.2397,1.3144
363,1.5957,-0.1675,2.2167,1.2397,1.3144
364,1.7016,1.3423,-0.7831,0.8163,-0.9145
365,-1.1583,2.1523,-2.0644,-2.0243,-4.0352
366,-1.1583,2.1523,-2.0644,-2.0243,-4.0352
367,-1.1583,2.1523,-2.0644,-2.0243,-4.0352
368,-0.7812,-1.9449,2.7278,-1.6529,2.7287
369,1.4436,-0.1653,4.5263,0.4202,0.1089
370,1.8111,0,-0.4627,3.3473,2.1314
371,1.8111,0,0,2.4291,4.7913
372,1.8111,0,-0.4067,-0.3953,-3.861
373,1.8111,0,-0.4067,-0.3953,-3.861
374,1.8111,0,-0.4067,-0.3953,-3.861
375,-2.4142,5.9603,1.0502,0,-1.8178
376,1.1719,0.7813,0.4619,0,0.6889
377,-3.0888,0,-1.3793,-1.1905,-6.2006
378,-2.5232,-0.6202,-0.2331,-1.2048,-1.6412
379,0.8174,-2.6521,1.4603,1.626,-2.2248
380,0.8174,-2.6521,1.4603,1.626,-2.2248
381,0.8174,-2.6521,1.4603,1.626,-2.2248
382,4.5946,8.9744,1.2666,2,3.9583
383,0.2584,-4.1176,-1.0802,1.5873,-3.1464
384,0.3866,0,1.092,-0.7843,-0.3531
385,0.7702,-1.227,-0.398,0,-0.1181
386,-0.5096,1.3975,-1.3699,0,-0.8515
387,-0.5096,1.3975,-1.3699,0,-0.8515
388,-0.5096,1.3975,-1.3699,0,-0.8515
389,-0.7682,0.3063,-1.3699,-2.3715,1.479
390,-2.3226,-0.6107,-4.2824,-2.0243,-0.2351
391,-1.8494,0,-0.6046,-1.2397,0.0943
392,-1.3459,-1.9969,0.6691,-0.8368,-3.3427
393,1.6371,1.0972,0.7855,0.8439,-2.5572
394,1.6371,1.0972,0.7855,0.8439,-2.5572
395,1.6371,1.0972,0.7855,0.8439,-2.5572
396,3.2215,1.5504,1.0192,-0.4184,0.6498
397,-4.0312,0.3053,-3.6795,1.2605,5.5128
398,-1.2195,-1.2177,-0.3081,-0.4149,5.5128
399,0.1372,-5.0847,2.7812,0.4167,-1.1532
400,1.3699,3.5714,-0.3307,1.6598,0.0238
401,1.3699,3.5714,-0.3307,1.6598,0.0238
402,1.3699,3.5714,-0.3307,1.6598,0.0238
403,-1.3514,2.3511,-1.9608,-2.8571,-0.0238
404,1.3699,-3.0628,1.4769,-1.2605,0.9286
405,1.4865,-0.7899,-1.1522,-0.4255,0.4954
406,-0.3995,-1.4331,-3.0675,-5.1282,-1.7371
407,-1.738,-4.3619,1.4557,0,-1.6961
408,-1.738,-4.3619,1.4557,0,-1.6961
409,-1.738,-4.3619,1.4557,0,-1.6961
410,0.6803,1.3514,0.5614,-0.9009,1.6282
411,-2.1622,1.3333,-0.4963,-1.8182,-2.3434
412,3.5912,1.6447,-2.4002,3.2407,-0.5142
413,-2.5333,5.0162,2.2676,-2.2422,-2.6827
414,-0.8208,0.1541,0.6246,2.2936,-0.4552
415,-0.8208,0.1541,0.6246,2.2936,-0.4552
416,-0.8208,0.1541,0.6246,2.2936,-0.4552
417,1.1034,-0.1538,2.7374,0,-3.0996
418,-0.5457,-0.7704,-0.6102,1.7937,0.603
419,-0.6859,0.9317,3.0395,-0.8811,2.3456
420,0.8287,-1.3846,0.944,1.7778,4.3035
421,1.9178,-0.624,-0.1169,4.3668,0.9033
422,1.9178,-0.624,-0.1169,4.3668,0.9033
423,1.9178,-0.624,-0.1169,4.3668,0.9033
424,-0.5376,1.4129,0.8777,-1.6736,-0.4597
425,0.9459,-0.9288,1.4501,0.8511,1.0695
426,0.4016,0.625,0.8576,2.5316,-1.2747
427,-1.3333,4.3478,0.1134,1.2346,1.9001
428,1.3514,-0.4464,-1.0759,1.626,2.4384
429,1.3514,-0.4464,-1.0759,1.626,2.4384
430,1.3514,-0.4464,-1.0759,1.626,2.4384
431,1.6,4.4843,0.5152,0.8,0.7701
432,1.6,4.4843,2.7904,1.9841,-0.2084
433,0.9186,-2.0029,0.4432,2.7237,-1.4156
434,-0.13,-2.1898,-0.0552,-1.5152,1.7185
435,-0.2604,-1.791,-1.1038,3.8462,-3.2631
436,-0.2604,-1.791,-1.1038,3.8462,-3.2631
437,-0.2604,-1.791,-1.1038,3.8462,-3.2631
438,1.0444,-0.304,-0.8371,-0.3704,-0.7656
439,-1.8088,-0.4573,-6.0214,-5.948,-0.7656
440,-1.3158,-0.1531,-0.8982,-1.1858,1.0849
441,0,-0.3067,0,-0.8,1.0849
442,0.1333,-2.7692,-0.1813,-1.2097,0.2623
443,0.1333,-2.7692,-0.1813,-1.2097,0.2623
444,0.1333,-2.7692,-0.1813,-1.2097,0.2623
445,-2.1305,1.7405,-2.3608,-2.0408,-3.1161
446,-1.3605,-0.7776,1.9219,-3.3333,0.6629
447,2.4828,-0.627,1.2165,3.0172,4.561
448,2.1534,0.9464,1.9832,2.5105,3.0091
449,2.1534,0.9464,1.9832,2.5105,3.0091
450,2.1534,0.9464,1.9832,2.5105,3.0091
451,2.1534,0.9464,1.9832,2.5105,3.0091
452,2.1534,0.9464,-0.4714,2.5105,-0.7246
453,-3.1621,-0.7813,0.8348,2.5105,1.7336
454,-0.2721,-1.4173,0.8749,-2.8571,-1.3229
455,-0.2241,-2.5559,-0.5239,-1.6807,-0.4544
456,-0.137,-2.623,-0.5266,-3.4188,-1.3696
457,-0.137,-2.623,-0.5266,-3.4188,-1.3696
458,-0.137,-2.623,-0.5266,-3.4188,-1.3696
459,-0.137,-2.623,1.2941,-0.4425,-1.2497
460,-0.5487,2.5253,2.6132,-0.8889,-3.281
461,-1.931,-3.7767,-1.1319,1.3453,-0.4362
462,-1.5471,-1.1945,-2.6331,0.885,-1.7036
463,0.2857,-2.418,0.823,-2.193,-0.1238
464,0.2857,-2.418,0.823,-2.193,-0.1238
465,0.2857,-2.418,0.823,-2.193,-0.1238
466,0.9972,1.7699,2.2157,0.8969,0.4462
467,0.9972,1.7699,-0.057,2.2222,0.2962
468,-0.8463,2.087,-2.6826,3.0435,0.812
469,-1.9915,-1.1925,0.7638,-4.6414,-4.7352
470,2.1771,-0.6897,-0.2915,3.9823,1.4348
471,2.1771,-0.6897,-0.2915,3.9823,1.4348
472,2.1771,-0.6897,-0.2915,3.9823,1.4348
473,-4.1193,-5.2083,-1.0526,-2.1277,-1.5408
474,-0.4444,-2.1978,-2.7778,1.7391,-0.744
475,1.7857,3.7453,1.459,-2.1368,1.6025
476,1.6082,-1.2635,-0.1198,1.31,-3.5869
477,-0.5755,1.4625,-2.4595,-2.5862,1.372
478,-0.5755,1.4625,-2.4595,-2.5862,1.372
479,-0.5755,1.4625,-2.4595,-2.5862,1.372
480,-3.3285,-3.964,-1.722,-0.885,-1.822
481,-0.2994,0.5629,0.8135,-0.4464,-0.9809
482,-1.952,2.4254,1.3656,-0.8969,-1.5261
483,0.9188,3.0965,0.2449,2.2624,1.441
484,1.5175,-0.7067,0.672,-0.4425,5.8965
485,1.5175,-0.7067,0.672,-0.4425,5.8965
486,1.5175,-0.7067,0.672,-0.4425,5.8965
487,0.1495,0.8897,0.672,0.8889,-2.2779
488,2.3881,1.5873,2.0024,1.7621,2.2274
489,-1.312,1.5625,-4.2832,0.4329,-0.0253
